instrument_name,instrument_type,strike,expiry,broker,instrument_token,trading_symbol,exchange,segment,underlying,lot_size,tick_size,tradable
NIFTY,SPOT,,,ANGELONE,NSE:99926000,Nifty 50,NSE,AMXIDX,NIFTY,1,0,true
BANKNIFTY,SPOT,,,ANGELONE,NSE:99926009,Nifty Bank,NSE,AMXIDX,BANKNIFTY,1,0,true
SENSEX,SPOT,,,ANGELONE,BSE:99919000,SENSEX,BSE,AMXIDX,SENSEX,1,0,true
MIDCPNIFTY,SPOT,,,ANGELONE,NSE:99926074,NIFTY MID SELECT,NSE,AMXIDX,MIDCPNIFTY,1,0,true
GOLD05AUG26FUT,FUT,,2026-08-05,ANGELONE,MCX:466583,GOLD05AUG26FUT,MCX,FUTCOM,GOLD,1,1,true
SILVER03JUL26FUT,FUT,,2026-07-03,ANGELONE,MCX:464150,SILVER03JUL26FUT,MCX,FUTCOM,SILVER,30,1,true
